,text,true_labels,predicted_labels
81,cargo looking quality just ok and both side pocket one side pocket missing not worth for money,1,2
82,budget dslr for beginner,2,2
83,the material of this custain is light and easy to manage but lacks substance,2,2
84,very good product,0,0
85,user friendly for beginner,0,0
86,the camera takes decent pictures but nothing too impressive it gets the job done for basic photography needs,2,2
87,okok,2,2
88,i love the clean and modern look of these plates,0,0
89,not bad,2,2
90,not bad not good,2,2
91,worst product,1,1
92,poor quality,1,1
93,cooler is average fan speed is high which cause a little bit noise but youll get use to it cooling is ok depend on weather not water in the tankthe worst thing is no wheels,2,2
94,very nice,0,0
95,too thin material but seems good to wear,2,2
96,its comfortable and stylish,0,0
97,these cushions are truly exceptional the quality is outstanding,0,0
98,super fast kettle,0,0
99,not a good product,1,1
100,pros1 you can connect to your bluetooth2 if you configure with mobile hotspot will also work in car kids will enjoy3 decent sound quality for pricecons1 no battery backup wont work without wifi2 configuration is tricky swithing setup3 google assistant app comes with similar features4 supports only 2g wifi5 in long run upper cloth torn for us make device looks bad,1,1
101,cargo looking quality just ok and both side pocket one side pocket missing not worth for money,1,2
102,if youre planning to buy this camera for video shoot then you are going to do a big mistake because its video quality is too much poor,1,1
103,absolutely useless product please never buy it even after technician coming and checking that the product was not working still the exchange was not accepted a big scam by flipkart total disgrace,1,1
104,not so good,1,1
105,the color is nice but it fades quickly,2,2
106,theres a small rust spot that got on the fabric but its manageable,2,2
107,the fast heating kettle,0,0
108,average,2,2
109,good product,0,0
110,so so product,2,2
111,average,2,2
112,camera has not date and time stamp feature its a very common feature and one can not find this feature by searching in google also you will only realise that date and time stamp feature is not available in your camera when you open the box in my profession every photo should have date and time of taking the picture for me this is trash now please dont buy if you are in same kind of profession,1,1
113,ok,2,2
114,average product not quality performance,2,2
115,very good camera,0,0
116,smudges a lot but its okay,2,2
117,the design of these pillows are modern and sleek they matches my living room perfectly,0,0
118,this is the best iron ive ever used it heats up in no time and removes wrinkles effortlessly the results are always professional and crisp,0,0
119,without youtube premium membership this device is useless maximum times it cant understand the asking but the main plus point is good sound quality,2,2
120,they hang well but the material feels a bit thin,2,2
121,good product,0,0
122,nice,0,0
123,the cloth is very transparent feels uncomfortable to wear,1,1
124,ok,2,2
125,this is nice no smudge very nice,0,0
126,super,0,0
127,very good plates,0,0
128,incredible product,0,0
129,good but not that good when it comes to its quality,2,2
130,too noise and defective product,1,1
131,printing of these plates are very bad,1,1
132,overall i am happy with the speaker but the one and only disadvantage with this speaker is you always have to connect this to electricity all the time while using it,2,2
133,best entry camera i loved it,0,0
134,very good camera for general photography,0,0
135,they add such a nice elegant look to my space love them,0,0
136,great packaging by seller as this was the most important point while transportation from jaipur to chennai secondly product is quite huge and air throw is very much nearly 13ft at 2 speed and will give good breeze cooling is satisfying due to honeycomb cooling media no need of filling water daily price is high but product is quite satisfactory compared to others only drawback is the motor power is 190 w rather than 220w which should be coorected on specs information on flipkart good j,0,0
137,loved it,0,0
138,the fit is spot on,0,1
139,good for a few hours of wear not recommended for long hours,2,2
140,these custains are easy to hang but wrinkle easily,2,2
141,cooler body is very weak,1,1
142,very bad quality waste of money,1,1
143,ok,2,2
144,ok ok typ product,2,2
145,for light material not good for heavier ones,2,1
146,image quality is decent in well lit conditions but dont expect much when shooting in low light overall its an average performer,2,2
147,less polycotton packed,2,2
148,not good camera lcd screen is very less in size photo clarity is not good waste camera there is no cancellation feeling sad for purchasing,1,1
149,very,2,2
150,its to good,0,0
151,medium qualty product,2,2
152,lens quality is very poor,1,1
153,average product size if not perfect as mentioned,1,2
154,its a heated one bez its not actually cotton but gud size and quality,2,2
155,nice,0,0
156,bad,1,1
157,this camera takes forever to focus especially in low light conditions ive missed many important moments because of how slow the autofocus is,1,1
158,i like the design but its not my favorite,2,2
159,very soft,0,0
160,the material feels okay not too thick not too thin,2,2
161,cushions are ok but they provided only 4 cushions feeling very bad,1,2
162,these cushions are not very good quality it ok,1,2
163,the google assistant speaker is so convenient it responds quickly and makes controlling my smart home devices a breeze,0,0
164,no bad,2,1
165,only to boil water dont try to boil or cook anything else as i did the bottom surface from inside has been burnt,2,1
166,size is medium but its okay,2,2
167,they do the job as casual pants but nothing really stands out about them,2,2
168,i like the design of these cushions but the color is a bit off,2,2
169,nice,0,0
170,very good,0,0
171,product is good heat so fast but wire is very short,2,2
172,awesome product thanks daraz,0,0
173,i love how this t shirt fits its true to size and the design is amazing the material is soft and cozy,0,0
174,very bad product,1,1
175,its not at all smudge proof,1,1
176,the fit is alright but the fabric could be softer and more flexible,2,2
177,quality is bad,1,1
178,average quality,2,2
179,they fit the windows well but are a bit more sheer than i thought,2,2
180,this iron does an excellent job on all types of fabrics,0,0
181,superb quality kajal highly recommended,0,0
182,same product but quality is low,1,2
183,product is not same as shown in figure,2,1
184,its very easy to use i can have everything to eat i can play music by asking it,0,0
185,not bad,2,2
186,wonderful product,0,0
187,this iron is fine for most clothes nothing special,2,2
188,looking nice but not good quality clothes,2,2
189,value for money but average quality,2,2
190,very good smart speaker from google very useful for small kids,0,0
191,good quality and performance,0,0
192,one wash colour is fed otherwise ok,2,2
193,this iron is fine for most clothes it heats up after a while and works well enough for basic ironing tasks not great for heavy duty jobs though,2,2
194,good iron but it has some flaws,2,2
195,loved it its beautiful very pluffy,0,0
196,it can not throw air upto 20 ft and crompton has mentioned it can throw air upto 45 ft so dont fall for that,2,2
197,osm super,0,0
198,very poor matrial quality and color feel very vwry bad,1,1
199,nice product,0,0
200,awesome product,0,0
201,the fit is spot on and they provide great flexibility and comfort for all day use,0,0
202,one of the best product best when it comes to easy connectivity but if you have choice between this or alexa i believe u should go for alexa because alexa just have better build quality rich sound,0,0
203,great cooling for 12x12 ft size room plastic body should have been more better quality water inlet is little loose,0,2
204,good product,0,0
205,its a best deal for mesaving upto 8k buying in 18k superb camera quality and contain dslr body lensbattery charger16gb memory cardcarry case,0,0
206,good product,0,0
207,quality very low,1,1
208,the most annoying babymy own kids and this nest doesnt listen anything,1,1
209,i was impressed by how quickly these cushions arrived and how well they were packaged,0,0
210,these cushions have transformed my outdoor space i love these cushions,0,0
211,the speaker quality is great,0,0
212,they arent super durable but they havent cracked yet,2,2
213,its not microwave safe it got broke in 1st use in microwave after 15 mins not at all recommended for microwave,1,1
214,does not use battery but otherwise a good product,2,2
215,love the blackout feature and how well they drape,0,0
216,descent product at this price,0,2
217,a little bit long but it can be fold according to ur wishreally gorgious such a low price must buy itbut only thing is that curtains are too long for 7fthv to fold according to ur need,2,1
218,im not happy with this iron its too light and doesnt press down on the clothes enough to remove wrinkles,1,1
219,damaged product,1,1
220,size not parfect but okay,2,2
221,flipkart delivery very nice and product in this time good,0,0
222,quality is good but not performance,2,2
223,these cushions are nice but not worth the price i paid,2,2
224,sound is very low dont expect too much from this connectivity is good,0,2
225,the fabric quality is excellent and they feel very well-made,0,0
226,the iron is completely ineffective it doesnt get hot enough to do a proper job,1,1
227,waste of money n product is transparent,1,1
228,product is very good,0,0
229,lens not good,1,1
230,the kettle is surprisingly quiet during operation even when boiling a full pot of water,0,0
231,normal quality product,2,2
232,good product nice,0,0
233,simple super,0,0
234,the fit is acceptable but the material is a little rough on the skin,2,2
235,received broken cooler,1,1
236,this is one of the worst irons ive owned it takes too long to heat up and once it does the heat isnt even strong enough to remove creases,1,1
237,average got smell using 2 times after filling water,2,2
238,bad bad quality,1,1
239,nice,0,0
240,awesome,0,0
241,very thin layer low quality materials it is not good material,1,1
242,average,2,2
243,okay,2,2
244,average product,2,2
245,poor quality plates,1,1
246,product is good but what is shown in the product is not correct there was a zip on the leg it is not there maybe another product has arrived that was just bad nyc product,1,2
247,very bad,1,1
248,quality is very low and having bad smell,1,1
249,the iron is completely ineffective it doesnt get hot enough to do a proper job and i have to go over the same spot multiple times to see any difference,1,1
250,quality is disappointing me,1,1
251,good product,0,0
252,worth of money,0,0
253,these cargos arent the worst but not the best,2,2
254,i didnt like how dry the kajal was it doesnt glide on easily and the pigmentation is not as rich as i expected,1,1
255,size is not same i am feeting its very big,2,1
256,very bad,1,1
257,color variation in tshirt i received and design print quality is worst its low quality paint print,1,1
258,good product but color is not that good it could be better,2,2
259,low quality thing its written room darkening but its transperant,1,1
260,good working,0,0
261,just okay,2,2
262,these curtains are perfect they keep the room dark and look amazing,0,0
263,okay,2,2
264,very cheap quality product,1,1
265,i purchased it on sales thinking i get a good discount but hell its price drop much after dilevary the dilevary of products is also slow but if i write about product it is good at use and after one or two weeks of use their is no problem,2,0
266,quality is not as per the expectations better quality cooler can be bought in same price range,2,1
267,plates are very small because of design plates are not flat so u cannot kept more food 10 inches plates not good for dinner 7 inch plates looks very small due to the shape quality was very good if u r looking for quality go for it only concern is size not quality,1,1
268,nice,0,0
269,very bad product,1,1
270,the size is smaller than i thought,1,1
271,these cushions are average in terms of comfort and support,2,2
272,cable is too short but doing good,2,2
273,low cost dslr superb good quality,0,0
274,so beautiful product,0,0
275,material is too bad,1,1
276,fragnance is so bad i cant wear a single time after i received this product,1,1
277,very bad,1,1
278,best,0,0
279,very low quality product material used is very low standard,1,1
280,this is the best kajal ive used so far rich color and no need for reapplication,0,0
281,theyre fine for simple everyday use but not ideal for special occasions,2,2
282,temp knob broke after sometime cable insulation also torn,1,1
283,it applies well but dont expect it to last through an entire day,2,2
284,good but not great,1,2
285,superb soft loved it,0,0
286,this is very very bad,1,1
287,this iron doesnt heat up evenly one side gets hotter than the other making it really difficult to iron clothes properly its frustrating to use,1,1
288,lekme kajal stays put even in humid weather iam really happy with its performance,0,0
289,ok,2,2
290,fabulous,0,0
291,I am extremely dissatisfied with the cushions quality theyre flimsy and dont provide support,1,1
292,mid range quality not much,2,1
293,kettle is good but the main problem is its lid which do not remain open while we try to fill it,2,2
294,the best part about this kajal is how long it stays on without any smudging,0,0
295,just good,2,0
296,best picture quality,0,0
297,its ok,2,2
298,the design is plain but works for a simple look,2,2
299,delivery boy is good and nice products,0,0
300,the iron performs adequately for everyday use,2,2
301,the material is soft yet sturdy making these cargos a great choice for casual wear,0,0
302,air delivery is very bad not even cooling 10x13 room,1,1
303,very cheap product,1,1
304,the plates are beautiful and functional the design is simple but timeless they are sturdy enough for daily use and look good enough to use for guests as well,0,0
305,always shows not connected till date i cant hear a single song worst product,1,1
306,toooo tight at legs but its okay in this price,2,2
307,the kajal is easy to use but the pigmentation is not as strong as i expected still a decent product,2,2
308,i love how smooth it glides over my clothes without snagging,0,0
309,the material of this t shirt is amazing,0,0
310,average product quality,2,2
311,fabric is soft and lyt wieght but stiching is not so gudjust ok ok,1,2
312,the material feels high quality and they are great for casual or outdoor wear,0,0
313,bad product,1,1
314,ok product,2,2
315,bad product iron box is not working,1,1
316,nice camera but not best,2,2
317,nice shiny and good shown in the picture is the same thank you daraz worthy every pnny sure to buy,0,0
318,bad quality,1,1
319,very bad product,1,1
320,very bad product dont takewastage of money,1,1
321,hate these plates,1,1
322,nyc product,0,0
323,these plates arent easy to clean because food sticks to them,1,1
324,the quality of this t shirt is impressive the stitching is solid and the fabric feels luxurious,0,0
325,very satisfied,0,0
326,the product is good and the sound quality is very good,0,0
327,setup if easy but usage is limited,1,2
328,good but setting bit difficult,2,2
329,worth of the cost,0,0
330,these plates are too small for serving main courses,1,2
331,good camera and performance,0,0
332,the material is lovely and they were very easy to put up,0,0
333,overall its fineworth the price but the product i have received it leaks from the bottomwant to return,2,2
334,color is ok but little bit lowm,2,2
335,verry bad,1,1
336,fine for everyday use but not ideal for special occasions,2,2
337,very good cooler feeling like ac in summer,0,0
338,dont buy,1,1
339,we get dammage product,1,2
340,edited after one year after one year of use the iron still like new this product is realy like we use japanese stuff i loved it yaar nice product under 2000,0,0
341,i like its performance and quality and it is good so far,0,0
342,just ok,2,2
343,im very disappointed with this iron the heat settings are confusing and it takes forever to get to the right temperature the overall quality is very low,1,1
344,im really impressed with this iron,0,0
345,nice,0,0
346,very good quality product thank you daraz,0,0
347,normal okay,2,2
348,at the time of boiling it has making too much noise,1,1
349,the iron heats up and removes wrinkles but its pretty basic its fine for what it does but doesnt stand out in terms of performance or features,2,2
350,the sleek and modern design fits well in any kitchen adding a nice touch to the countertop,0,0
351,the cargos are practical with good pocket space but they feel a little stiff,2,2
352,connectivity is very poor,1,1
353,low quality wasted of money,1,1
354,good iron but it has some flaws,2,2
355,the iron is way too light and doesnt provide enough pressure to properly iron clothes,1,1
356,fit is perfect and the material is also good,0,0
357,no cooling,1,1
358,do not buying,1,1
359,dont buy it i think waste of money,1,1
360,nothing special in terms of design or comfort,2,2
361,okk,2,2
362,not a good product,1,1
363,pathetic pillows,1,1
364,excellent,0,0
365,dont buy any one small katora which is unstable for any guest to serve,1,1
366,dont waste money on this useless product stop working in one week only,1,1
367,im really happy with this iron,0,0
368,worst product,1,1
369,very cheap product,2,1
370,everything is ok but cooling very low,2,2
371,the quality of this product is midrange,2,2
372,pixel quality bad when image zooming,1,1
373,nice product,0,0
374,not getting enough heat,1,1
375,this kajal works well for casual use but its not long lasting enough for extended wear,2,2
376,super,0,0
377,having some issues suddenly off on,1,2
378,really awsome quality but price is higher,2,2
379,super looking and full money vasul,0,0
380,the pattern is misaligned and doesnt look right when hung,1,1
381,very poor quality black print washed away in first wash itself,1,1
382,not bad,2,2
383,nice,0,0
384,very nice product,0,0
385,thats like ok product,2,2
386,good product,0,0
387,im really disappointed with the low light performance of this camera,1,1
388,not good as per the price,1,1
389,the fabric is soft and feels high quality,0,0
390,does not work,1,1
391,cooler is good but only auto swing is not working,2,2
392,not bad,2,2
393,just ok,2,2
394,this iron did not meet the expectations the min max knob does not work properly i got maximum heat whet i set it in minimum the product is very light weight which is good price is very low but overall its not that good ok type product and thanks to flipkart again for its good service,2,2
395,very bad,1,1
396,the material is soft but also durable enough to handle tough conditions,0,2
397,worthless product its lickage after 1 week pigeon 3rd class product,1,1
398,not smooge prove nd no long lasting,1,1
399,the color is vibrant and the design is simple yet stylish im very happy with this purchase,0,0
400,need more distance for connectivity and cable lenght,2,2
401,the kajal is fine for short wear but it does require reapplication after a few hours,2,2
402,the fit is okay but not perfect might work better for some body type,2,2
403,nice products,0,0
404,ok,2,2
405,superb,0,0
406,product is not good,1,1
407,product is good but one cushion is of low quality,2,2
408,usb cable is not included in the box no camera bag and memery card not included also packing is very bad i dont like this product all of all,1,1
409,okproduct its just complete the need,2,2
410,good product,0,0
411,one large size plate was broken within ne day of use,1,1
412,never purchase cooler from flipkartmy 10500 wasted pump not working honey comb drynot giving cool air the up and down slider is also not working when you manually do it up it will go down itself after few minutes giving only air in downwardi am a regular flipkart customer and was trusting flipkart but after this cooler purchasing experience i hate flipkart from now and ill never do any order at flipkartive requested for return that was 7 days replacement policy,1,1
413,i received broken pieces,1,1
414,gud quality,2,0
415,product is good but plastic are poor,1,2
416,dont buy the product its very low quality the upper lid comes out automatically after 1 year the on off button was not fuctioning not durable,1,1
417,picture quality is ok,2,2
418,grt product i loved it,0,0
419,not good,1,1
420,great product i m fully setisfy,0,0
421,very nice product super nice,0,0
422,very cheap quality product and very light weight product,1,1
423,this iron is of very low quality plastick dont buy,1,1
424,nice but not as shown,2,2
425,not like alexa in accurate and mostly not answering i cant even return it,1,1
426,quality is too bad plastic used is very low quality and steel is so thin,1,1
427,average,2,2
428,nice product but weighty is very heavy no wheels provided so that is is very difficult to move from one place to another,2,2
429,it applies well but dont expect it to last through an entire day,2,2
430,just ok,2,2
431,heating problem,1,1
432,nice product,0,0
433,flattened within 3 months,1,1
434,it is not quick response moreover does not understand much i think alexa is much bett,2,1
435,very poor quality,1,1
436,average quality,2,2
437,very poor quality,1,1
438,the quality is subpar the fabric feels rough and the fit is not as described,1,1
439,the cargos are well made with solid stitching and a nice rugged look,0,0
440,bad points no bags memory card given with the product doesnt have port to connect mic not suitable for video recoding,1,1
441,delivered the product on time but the demo was not done even after two weeks for which the amount is already deducted complaint was raised but they are dragging that will be done in 24 hours but many 24 48 hours have gone,1,1
442,theyre average plates not much to say about them,2,2
443,very smooth but i didnt like the color,2,1
444,love how soft and thick these curtains are theyre just perfect,0,0
445,does not stays for long duration otherwise okay,2,2
446,normal fan cooler,2,2
447,not bad,2,2
448,so much good,0,0
449,the color is completely off from what i saw online,1,1
450,good,0,0
451,nice,0,0
452,packaging is not good very disappointed,1,1
453,the materialof this cushion is luxurious and soft,0,0
454,the big plates size should b big bcoz in it while eating food we cant keep bowls too otherwise quality is amazing but plate size disappointed me too small,1,1
455,not god air thorw not god quality not accepted,1,1
456,i love how these cushions support my back and neck,0,0
457,plz dont buy west of money and gives neck pain,1,1
458,okk,2,2
459,should come up with telephoto lense,2,2
460,these custains are okay for light coverage but not ideal for privacy,2,2
461,not chargeable,2,1
462,not worth barely works as cooler doesnt cool just somehow better than fan,2,1
463,good,0,0
464,satisfied,0,0
465,superb quality product packing is very good no damage product fast delivery thank u daraz,0,0
466,excellent eyeconic kajal,0,0
467,very poor waist of money,1,1
468,wonderful value for money,0,0
469,not good,1,1
470,the tip of the kajal keeps breaking off with the slightest pressure and its really frustrating to use,1,1
471,not connected,1,1
472,awesome look,0,0
473,wast of money air through is below 5 feet dont buy,1,1
474,the material of the plate feels durable but not premium,2,2
475,you can go for it but nothing special,2,2
476,very nice,0,0
477,ok,2,2
478,medium quality product,2,2
479,product quality is not good its waste of money,1,1
480,really amazing i loved it very good product in this price range i got this during diwali time in 20k 1855 overall amazing product for beginners loved it go for it,0,0
481,very poor quality,1,1
482,quality of cargo is not up to the mark as the material is of such low quality and cannot be used outside,1,1
483,im really impressed with this iron its super easy to use and heats up almost instantly it leaves my clothes looking perfectly pressed every time,0,0
484,very poor product and unsatisfactory,1,1
485,osm kajal love it,0,0
486,very good quality,0,0
487,ok product,2,2
488,good product but not like symphony,2,2
489,connection cord is too small and uts causing difficulties to use it bcoz it carries 1500 v electricity and in market there is no extension cord available which can carry this much electricity,1,1
490,worst product please dont buy,1,1
491,not as same as shown in picture so bad quality,1,1
492,the cushions are okay for everyday use but i wouldnt recommend for heavy use,2,2
493,price a little bit more,2,2
494,so light weight not good,1,1
495,nice kajal super,0,0
496,good but its ok not so best,2,2
497,cant generate enough heat,1,2
498,bad,1,1
499,very useful smart speaker from google absolutely best value for money deal,0,0
500,the kajal is smooth and glides well but ive noticed it doesnt stay on for the whole day,2,0
501,design is not so attractive got all pieces intact n cheap too overall okay product,2,2
502,not working properly within 10 months but its okay,2,2
503,i bought these cushions and theyre okay not the best quality,2,2
504,the iron works fine for light use but it takes a while to heat up its good for basic ironing but might not be suitable for heavier fabrics,2,2
505,the pigmentation is amazing and it doesnt fade even after wearing it for hours,0,0
506,not good not buy waste of money,1,1
507,nice product,0,0
508,very nice product,0,0
509,this kajal is not good,1,1
510,the quality of these cushions are superior,0,0
511,poor quality,1,1
512,very small size of plates and bowls and quality is very bad,1,1
513,very good product,0,0
514,product is not good dont go for thisfabric of pocket lining is very poorpls dont buy,2,1
515,its not loud,1,2
516,for first time use the tip of the kajal was broken,1,1
517,very nice product,0,0
518,ok,2,2
519,waste of money,1,1
520,quality is ok but long sized,2,2
521,avarege quality,2,2
522,not much useful primitive technology,2,1
523,the build quality of this iron is terrible it feels like it could break at any moment the heating is very slow and it doesnt seem to hold the temperature well,1,1
524,not an option,2,1
525,good product,0,0
526,these plates look elegant even though theyre affordable,0,0
527,bad,1,1
528,the color is vibrant and the curtains feel durable,0,0
529,its an average iron,2,2
530,"the design of the t shirt is simple and the color matches the pictures the fabric is fine, though it could be a bit thicker Its an okay buy for casual wear.",2,2
531,these cushions exceeded my expectations the quality is top notch,0,0
532,just ok,2,2
533,very good product,0,0
534,valuable product,0,0
535,okay okay,2,2
536,long t shirt,2,2
537,nice product nice quality,0,0
538,over heated very quickly not recommended,1,1
539,excellent,0,0
540,nice product,0,0
541,the quality of these cushions are decent but not exceptional,2,2
542,not as good as shown,1,1
543,the material is decent but not exceptional,2,2
544,good product,0,0
545,the iron gets warm and does the job but its nothing specia,2,2
546,okay,2,2
547,its ok but not excellent,2,2
548,wow this curtain is very beautiful i love it value for money,0,0
549,everything is ok but hard to boil chicken and eggs due to autocut,2,2
550,the iron is lightweight and easy to handle it heats up but not as fast as id prefer,2,2
551,good quality,0,0
552,average quality,2,2
553,these plates are simple yet elegant,0,0
554,its a pretty standard iron nothing remarkable about it it heats up and removes wrinkles but doesnt have any standout features or performance,2,2
555,the color started to fade after just one wash very disappointing,1,1
556,after woshing the print came out shirt color is damaged,1,1
557,this kajal makes my eyes look bigger and brighter iam very happy,0,0
558,good only for 1st timers,2,2
559,the iron box is smaller than expected size,2,2
560,size is not perfect,1,1
561,worst product,1,1
562,quality is good comes in vaccum compressed packaging one of the cons is cushion is not so fluffy as expectedbut a good option for this price,2,0
563,nice product but flipcart delayed the delivery 10 days,2,2
564,osm iron i will recommend this to everyone,0,0
565,not good,1,1
566,very good camera i love this camera,0,0
567,its so soft and comfortable simply love it,0,0
568,waste products dont buy waste packing toooooooo late delivery,1,1
569,the color is exactly as shown and it complements my decor perfectly,0,0
570,these plates are ridiculously overpriced for the quality,1,1
571,very nice product,0,0
572,when arrived after order one item was broken then we replaced it but in the replacement package nearly all the items were broken so flipkart was alright in its service but it was just not meant to have any stars,1,2
573,good,0,0
574,worth at this price really liked it,0,0
575,heats up fast,2,0
576,this iron doesnt heat up evenly,1,1
577,very poor defective product,1,1
578,more noise and some times lightly bad smell actually no proper cooling,1,2
579,no quality boss,1,1
580,this kajal is great for sensitive eyes,0,0
581,the cushions are easy to clean and maintain,0,0
582,they arent heavy duty but for casual dining they seem to be alright,2,2
583,the kajal wore off very quickly and left me with smudges under my eyes not a good look,1,1
584,size is not as expected other things of the plate is good,2,2
585,nice set very happy buy it,0,0
586,this is really a worst product the kajal doesnt even last for 1 hour i applied it on my eyes and just within one hour this kajal get automatically removeddont know howeven in that span of time i didnt wash my eyesstill kajal get removedso this kajal is deep black in colour no last for 22 hours nowaterproof noso this product i got is of low quality and localso please dont buy this product,1,1
587,a long lasting kajal in affordable price,0,0
588,good camera,0,0
589,very nice n good track pant,0,0
590,nice product,0,0
