,text,true_labels,predicted_labels
344,nice,0,0
345,nice,0,0
346,good,0,0
347,not bad,2,2
348,vear bat asect qulti was very very bad my money losses,1,1
349,very lightweight ironing takes more time than usual,2,2
350,ok product,2,2
351,i dont know about it,2,2
352,initially it was very good but suddenly it start showing defects like unable to connect to anyway internet though i have jiofi this seems major issue with it recommended not to buy this product,1,1
353,quality not good,1,1
354,ok,2,2
355,not a good quality product the temperature setting round knob is not very effective i would suggest that people may but some other product,1,1
356,excellent t shirt,0,0
357,no cooling,1,1
358,nice,0,0
359,setup if easy but usage is limited,1,2
360,nic,2,2
361,small size 10,2,2
362,not really good for everyone only for premium membership version wifi connectivity problem so many time only 1 connection used not using 2nd wifi networks,1,1
363,bad quality,1,1
364,nice quality photo capture in a raw,0,0
365,dinner set was very good but 2 bowl are delivered broken and when i initiated replacement then they make lots of excusesfinally i leave the request as i am single person at home dont hv too much time for wasting my time on call,1,1
366,burn out inside in a week not good,1,1
367,good quality,0,0
368,worst product,1,1
369,ok,2,2
370,everything is ok but coolis veru low,2,2
371,mind blowing,2,2
372,this camera is not good and battery working is not good dont buy,1,1
373,good as espected in this budget,2,0
374,very bad,1,1
375,transparant material,2,2
376,super,0,0
377,im keep on thinking y i bought this iron box its a big no for me if ur looking for medium sizehandy nd comfortable iron boxits too small to use nd chances are high that u may burn ur hands accidentally other than this functions r working properly,1,1
378,budget dslr for beginner,2,2
379,best,0,0
380,poor,1,1
381,verry bad,1,1
382,just ok nothing else,2,2
383,best product in this price range,0,0
384,product quantity is not that good,2,1
385,the item is goodbut come too late,2,2
386,good product,0,0
387,dont buy camera without checking quality if it is given cheap quality is very poor for these camera,1,1
388,not good as price,1,1
389,may be good,0,2
390,very nice product,0,0
391,cooler is good but only auto swing is not working,2,2
392,not bad,2,2
393,okay okay product,2,2
394,its light weight,2,2
395,not good,1,1
396,good product,0,0
397,worst product,1,1
398,ok,2,2
399,not good quality one plate cracked after serving hot rice not so durable i dont know if its microwave friendly or not,0,1
400,not good,1,1
401,quality,2,1
402,awsm looking pent,2,2
403,very good quality with cover soft and very durable,0,0
404,good but its not so best,2,1
405,this product is not good waste money,0,1
406,bad product,1,1
407,very bad quality,1,1
408,plastic quality is not so good and bag and sd car is not there with the camera,1,1
409,best product for the price however alws noticed that only one side of kettles get heated not the whole base otherwise great product by pigeonthanks flipkart ekart for timely delivery,0,0
410,perfect iron at this price the more you care of your belongings more they work longer thanks team,0,0
411,the product is good but packaging is very bad,1,1
412,never purchase cooler from flipkartmy 10500 wastedpump not working honey comb drynot giving cool airthe up and down slider is also not working when you manually do it up it will go down itself after few minutes giving only air in downwardi am a regular flipkart customer and was trusting flipkart but after this cooler purchasing experience i hate flipkart from now and ill never do any order at flipkartive requested for return that was 7 days replacement policy buttechnician came and,1,1
413,not satisfied with the packing outer cover isnt all impressive,1,1
414,small size not as shown in pictures,2,2
415,quality is too bad plastic used is very low quality and steel is so thin,1,1
416,very low quality materials use,1,1
417,ok type for beginners basic lens just feel the dslr,2,2
418,worth buying,0,0
419,not good,1,1
420,very baddont collect it,2,1
421,good product nice,0,0
422,packing not good top and bottom cushion vas damage,1,1
423,after one year use it doesnt work,1,1
424,normal okay,2,2
425,awesome productloved the audio quality and bass good for music and listening to news and podcasts,0,0
426,very bad product swich was jammed alredy very irritating,1,1
427,ok,2,2
428,nice product but weighty is very heavy no wheels provided so that is is very difficult to move from one place to another,2,1
429,ok,2,2
430,just ok,2,2
431,product is not good,1,1
432,nice,0,0
433,cushion cover is not good very thin clothe,1,1
434,need more distance for connectivity and cable lenght,2,0
435,uneven nylon fiber filler,1,1
436,average quality,2,2
437,very poor quality,1,1
438,very bad product duplicate product delivered not work atleast 2 hours,1,1
439,trash,1,1
440,picture quality is not clear but has i did not like the camera,1,1
441,delivered the product on time but the demo was not done even after two weeks for which the amount is already deducted complaint was raised but they are dragging that will be done in 24 hours but many 24 48 hours have gone,1,2
442,size is very small,2,2
443,very smooth,2,2
444,very cheap productlow quality fabric,2,1
445,ok,2,2
446,it can not throw air upto 20 ft and crompton has mentioned it can throw air upto 45 ft so dont fall for that,2,2
447,okay,2,2
448,so much good,0,0
449,recievd damage product also quality was not upto the mark,1,1
450,good and daily use tshirt,0,0
451,very nice,0,0
452,waste,1,1
453,good quality,0,0
454,nice,0,0
455,not god air thorw not god quality not accepted,1,2
456,good product,0,0
457,not good quality,1,1
458,i like love it instant heat water within sec,0,0
459,pathetic auto focus doesnt work at all,1,1
460,old product,2,2
461,properly works only when it will connect with youtube premium so 1st you have to buy youtube premium then only it will work properly otherwise you will tell something and it will understand other thing,2,2
462,ok,2,2
463,superb,0,0
464,good product,0,0
465,nice,0,0
466,excellent eyeconic kajal and excellent flikcard all product i am only use excellent flipkard,0,0
467,bad quality dont buy this,1,1
468,best product,0,0
469,not good,1,1
470,nice but packaging is not good,1,1
471,not working not connecting to bluetooth or wifi,1,1
472,very good item,0,0
473,wast of moneyair through below 5 feetdont buy,1,2
474,rate very high as per quantity,2,1
475,wonder full yaaaaarrrr,2,2
476,good quality,0,0
477,very small size,2,2
478,medium quality product,2,2
479,not gud,1,1
480,good experience,0,0
481,bad,1,1
482,quality of cargo is not up to the mark as the material is of such low quality and cannot be used outside,1,1
483,awesome products its work performance is very satisfied,0,0
484,cost less worth less product its handle is low quality plastick dont buy,1,1
485,very bad product,1,1
486,quality is good comes in vaccum compressed packagingone of the cons is cushion is not so fluffy as expectedbut a good option for this price,0,0
487,darun,2,2
488,average,2,2
489,no quality,1,1
490,good but not best,1,1
491,cheap quality,1,2
492,above average,2,2
493,price a little bit more,2,2
494,size is very small,1,2
495,nice kajal super,0,0
496,small size with balanced sound enough volume excellent packed performance 999 downside no inbuilt battery means no back up,2,1
497,this is not automatic,1,2
498,not so good,1,1
499,kettle is good but the main problem is its lid which do not remain open while we try to fill it,2,2
500,superb,0,0
501,ok ok typ product,2,2
502,i got the product what i was expected but it doesnt have power backup,2,2
503,below average product the cushions do not rise properly the edges remain hollow,1,2
504,not good,1,1
505,sound is very low difficult in getting connection,1,2
506,it is not working after a month,1,1
507,nice,0,0
508,value for money,0,0
509,good,0,0
510,i purchased it to used in our office they all like it,0,0
511,poor quality,1,1
512,please dont buy bowls and plates are too small i returned the product as soon as i saw such small sizes of bowls and plates disappointed,1,1
513,wonderful delivery staff and product,0,0
514,product is not good dont go for thisfabric of pocket lining is very poorpls dont buy,2,1
515,vary bad,1,1
516,worst piece i got,1,1
517,not bst bt okey,2,2
518,average,2,2
519,very bad experience,1,1
520,fabrick is not very thin cloth,2,2
521,not bad,2,2
522,little bit complex to set up with google home appbut once its done then performs very well,2,0
523,bad product,1,1
524,must try,2,0
525,nice bought for my mamam,2,0
526,size of plates are quite small,2,2
527,these are not made from good ceramic very easily breakable when the product was received one serving cup was totally broken and another one was partially cracked if you prefer to buy ceramic wares it would be better to visit a shop and buy,1,1
528,nice,0,0
529,ok,2,2
530,normal product,2,2
531,good,0,0
532,gud but not that gud,2,2
533,good quality,0,0
534,nyc product,0,0
535,very light iron not properly ironing dress,2,2
536,ok nice,2,2
537,nice productnice quality,0,0
538,very bad product and stand place not hold wair my ioran only 2month in waest at the home,1,1
539,just ok,2,2
540,nice product,0,0
541,size of pillow is smaller what is mentioned,2,2
542,its very bad,1,1
543,chip material,2,2
544,original product,0,2
545,overall good product,2,0
546,ok,2,2
547,ok,2,2
548,wow this curtain is very beautiful i love it value for money,0,0
549,verry bad,1,1
550,ok,2,2
551,nice,0,0
552,ok,2,2
553,very good quality,0,0
554,steel body heat with surface,2,2
555,nothing better than thisloved it,1,1
556,poor quality,1,1
557,awesome,0,0
558,mast quality,2,2
559,ok,2,2
560,bad quality break with small weight,1,1
561,worst product,1,1
562,very nice,0,0
563,nice product but flipcart delayed the delivery 10 days,1,0
564,good iron,0,0
565,not good,1,1
566,good,0,0
567,veri good product,0,0
568,best product,0,0
569,good,0,0
570,the big plates size should b big bcoz in it while eating food we cant keep bowls too otherwise quality is amazing but plate size disappointed metoo small,1,1
571,nice and soft,0,0
572,product was good considering the price product delivered on time one item was broken,1,1
573,just ok,2,2
574,good one,0,0
575,just ok,2,2
576,bad project,1,1
577,i m using this product for 1 months and today its not working and its really very very disappointeing because in my localtilty here is no service center thats why this product gone waste and my 700rs also gone to waste,1,1
578,more noise and some times lightly bad smell actually no proper cooling,1,1
579,this product is wo batterynot working at without power,2,2
580,fitting is very good,0,0
581,satisfied after purchase good quality and affordable,0,0
582,design is not so attractive got all pieces intact n cheap too thks flipkart,2,1
583,very very good,0,0
584,size is small,2,2
585,perfect packing superb itemu can buy it,0,0
586,hardly of any use every few days it cant recognize my voice and i have to go through the voice recognition setting again google assistant on my phone is good enough buying this product is a waste many a times it doesnt even show up when i need to cast music from my phone on to the mini,1,1
587,a long lasting kajal in affordable price,0,0
588,super,0,0
589,very nice n good track pant,0,0
590,good product as per our expectations,0,0
591,after 2 or 3 time the iron is not heat,2,2
